itemId,name,category,rarity,quantity,price,favorDelta,healthDelta,appearanceDelta,temperamentDelta,canSell,canRecycle,isQuestItem,recyclePriceOverride,color,pools,description,tags
score-phoenix-return,凤归云阙谱,music-score,red,1,0,0,0,0,0,false,false,true,,red,music-score,转调繁复，若在宫宴上演成，最易压住满堂杂音。,
score-spring-river,春江引谱,music-score,purple,1,0,0,0,0,0,false,false,true,,purple,music-score,曲意清润绵长，适合在妙音堂试一试气口与层次。,
score-mist-pavilion,烟水长亭谱,music-score,purple,1,0,0,0,0,0,false,false,true,,purple,music-score,旋律温缓，最见行腔细腻处的分寸。,
score-cinnabar-dream,朱弦入梦谱,music-score,red,1,0,0,0,0,0,false,false,true,,red,music-score,板眼华丽，最适合做压轴之用。,
score-moon-on-paulownia,桐月流辉谱,music-score,purple,1,0,0,0,0,0,false,false,true,,purple,music-score,音色冷净，最重收放与留白。,
score-vermilion-feathers,丹羽朝仪谱,music-score,red,1,0,0,0,0,0,false,false,true,,red,music-score,起势明艳，若唱得稳，最容易教人一眼记住。,
dance-score-cloud-sleeve,流云回袖谱,dance-score,purple,1,0,0,0,0,0,false,false,true,,purple,dance-score,重在水袖收放，步子不难，难在气口不断。,
dance-score-green-waist,绿腰折枝谱,dance-score,red,1,0,0,0,0,0,false,false,true,,red,dance-score,腰身与转步都极吃功夫，稍有迟疑便失了势。,
dance-score-rain-bell,雨铃碎步谱,dance-score,purple,1,0,0,0,0,0,false,false,true,,purple,dance-score,碎步细密，最考验节拍和脚下轻重。,
dance-score-flying-swallow,飞燕踏歌谱,dance-score,red,1,0,0,0,0,0,false,false,true,,red,dance-score,起落迅疾，须得气质与身段都压得住。,
dance-score-moon-shadow,月影旋身谱,dance-score,purple,1,0,0,0,0,0,false,false,true,,purple,dance-score,旋身处留白极多，若跳得稳，最显身姿。,
dance-score-lotus-step,莲台缓步谱,dance-score,blue,1,0,0,0,0,0,false,false,true,,blue,dance-score,步法端稳，适合初学时打底。,
