id,group,routeId,locationId,actorKey,actionId,variant,order,speakerIdentity,speakerName,portraitKey,portraitPlacement,narrationName,text,sceneHint,notes
"consort.sendoff.limit","consort-sendoff","","","consort","limit","","1","场景旁白","送客","","","{{locationName}}","{{rankAndName}}身边的宫人隔帘传话，说娘娘今日已见过客，本旬内不便再扰。若还要强留，反倒显得失了分寸。","","本旬互动限制"
"consort.sendoff.audience","consort-sendoff","","","consort","audience","","2","场景旁白","送客","","","{{locationName}}","话到这里，{{rankAndName}}略一抬眼，身边宫人便上前续茶送客。她只道今日已说得够多，余下的话不妨留到下旬再叙。你明白再留无益，遂起身告退。","","殿内送客"
"consort.sendoff.public","consort-sendoff","","{{locationName}}","consort","public","","3","场景旁白","送客","","","{{locationName}}","话到这里，{{locationName}}周遭又有宫人往来。{{rankAndName}}收住话头，身边随侍也适时上前提醒行程。她只向你略一颔首，示意今日偶遇到此为止。你知这不是殿内会客，不宜强留，便顺势让开宫道。","","公共地点偶遇收束"
"dowager.audience.farewell","dowager-audience","","建章宫","dowager","farewell","","1","太后","太后","taihou","stage","建章宫","太后将茶盏轻轻一搁，目光只在你身上停了一瞬，便温声道：“礼已尽，话也说到这里。你既知道建章宫不是纵口任性的地方，往后行事，便把今日这点分寸一直守下去。去罢。” 她没有再多看你，像是该给的提点已经给完，不必再把话说透。","太后已准你告退。","太后 本地剧情"
"dowager.audience.follow-up","dowager-audience","","建章宫","dowager","follow-up","","2","太后","太后","taihou","stage","建章宫","太后听完你这一句“{{optionLabel}}”，眉眼间并无明显喜怒，只把声线放得更缓：“会说话，不算本事；知道什么时候该收，才算真明白。” 她指尖轻轻敲了一下茶盏，又淡淡添道：“哀家今日肯同你说这些，不是叫你回去自鸣得意，而是要你记得，宫里最难守的，从来不是体面，是得了体面之后仍不失规矩。” {{openingTag}}","这一轮话已经收束，可以离殿了。","太后 本地剧情"
"dowager.audience.gift-greet","dowager-audience","","建章宫","dowager","gift-greet","","3","太后","太后","taihou","stage","建章宫","你上前奉上{{itemName}}，一并向太后问安。太后并未急着去看那份礼，只先把你从头到脚缓缓打量了一遍，才道：“肯记得来建章宫尽礼，是好事。只是哀家见得多了，知道有人送的是心，有人送的是局。” 她指尖轻轻按在案边，语气仍平稳得近乎温和：“你若只是来做个样子，哀家一眼便看得出；你若当真有话，就说一句担得起后果的。” {{openingTag}}","太后愿意继续听下去，但她更在意你的分寸。","太后 本地剧情"
"dowager.audience.visit","dowager-audience","","建章宫","dowager","visit","","4","太后","太后","taihou","stage","建章宫","你入建章宫时，太后已端坐在上首。她并不急着发话，只等你把礼数一项项做全，才缓缓开口：“今日肯过来见哀家，想来不是一时兴起。后宫不是养天真的地方，谁都要学着先看局势，再看人心，最后才轮到自己的委屈与喜恶。” 她说到这里，目光不轻不重地落在你身上：“你若是个明白人，就该听得懂这话里几层意思。” {{openingTag}}","先听太后的话意，再决定如何应对。","太后 本地剧情"
"dowager.audience.greeting","dowager-audience","","建章宫","dowager","dowager-greeting","","5","太后","太后","taihou","stage","建章宫","你依礼请安后，太后才抬眼看你：“每月肯记得来建章宫走一趟，不是小事。宫里有些规矩，看着只是礼数，实则是在告诉旁人，你还知道自己站在何处。” 她语气不重，却把话落得很稳：“今日这礼，哀家收下了。往后也要记得，体面不是一日做给人看的。” {{openingTag}}","本月向太后请安已记下。","太后 本地剧情"
"dowager.audience.advice","dowager-audience","","建章宫","dowager","dowager-advice","","6","太后","太后","taihou","stage","建章宫","你请太后示下宫中规矩。太后没有立刻训话，只慢慢道：“规矩不是拿来背的，是拿来保命的。说话留三分，行事慢半步，遇见热闹先看是谁在推。” 她看向你，声线仍旧平缓：“你若听得进去，便少吃许多亏；听不进去，旁人也只会等着看笑话。” {{openingTag}}","太后把话说到这里，已算给了提点。","太后 本地剧情"
"dowager.audience.talk","dowager-audience","","建章宫","dowager","talk","","7","太后","太后","taihou","stage","建章宫","你陪太后说了几句宫中近事。太后听得不急，偶尔问一句，问的却总是人情背后的轻重：“你看人若只看一时亲疏，便容易被人牵着走。能在宫里站稳的人，先要知道谁说话有用，谁只是说得响。” 她说完便端起茶盏，像是只随口提点。 {{openingTag}}","这场闲谈不长，但太后已记下你今日的态度。","太后 本地剧情"
"dowager.audience.limit","dowager-audience","","建章宫","dowager","limit","","8","建章宫宫人","通传","","","建章宫","宫人从殿门内退出来，低声道：“娘娘，太后今日已见过您了。老人家精神有限，再留便不合适。还请娘娘先回，来日再请安。”","本旬与太后的有效互动已满。","太后 本地剧情"
"dowager.audience.resting","dowager-audience","","建章宫","dowager","resting","","9","建章宫宫人","通传","","","建章宫","宫人守在阶前，见你近前便先行一礼：“娘娘，太后已经歇下了。这个时辰不便惊动，还请娘娘明日再来。”","夜间不便拜见太后。","太后 本地剧情"
